Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Ball_Bonus
2016-01-02,12,25,29,40,48,56,52
2016-01-06,8,30,40,50,54,57,13
2016-01-09,26,27,46,47,52,58,48
2016-01-13,4,12,38,46,57,59,8
2016-01-16,1,8,12,25,43,52,38
2016-01-20,18,36,37,38,54,57,14
2016-01-23,8,9,10,11,41,54,24
2016-01-27,8,38,41,42,50,58,24
2016-01-30,1,6,21,31,41,44,42
2016-02-03,23,25,34,36,37,54,49
2016-02-06,10,12,18,34,52,56,50
2016-02-10,2,13,25,32,37,39,48
2016-02-13,15,16,23,39,48,59,36
2016-02-17,5,15,33,47,51,59,7
2016-02-20,2,17,35,41,57,59,42
2016-02-24,4,14,18,19,26,27,25
2016-02-27,11,14,22,37,53,56,55
2016-03-02,4,15,21,26,39,58,20
2016-03-05,11,19,29,37,40,41,47
2016-03-09,26,31,35,37,40,49,36
2016-03-12,13,21,30,39,51,56,1
2016-03-16,13,14,31,42,44,58,1
2016-03-19,21,27,31,34,40,54,22
2016-03-23,7,14,21,35,41,42,43
2016-03-26,5,12,43,51,53,57,28
2016-03-30,5,13,24,31,40,41,7
2016-04-02,7,14,20,33,47,55,15
2016-04-06,15,17,31,41,50,57,5
2016-04-09,20,22,25,34,47,51,18
2016-04-13,13,15,17,19,35,57,21
2016-04-16,2,5,14,42,51,55,54
2016-04-20,1,7,9,10,12,31,28
2016-04-23,2,14,26,35,44,59,24
2016-04-27,12,24,29,34,39,57,28
2016-04-30,1,2,5,38,53,56,31
2016-05-04,1,2,3,4,20,21,22
2016-05-07,4,14,17,27,34,36,28
2016-05-11,13,22,23,33,49,54,53
2016-05-14,9,12,23,24,32,51,16
2016-05-18,1,3,28,34,37,46,59
2016-05-21,6,7,19,28,30,52,46
2016-05-25,6,20,33,44,45,55,16
2016-05-28,8,10,36,40,52,57,59
2016-06-01,23,27,36,39,41,49,6
2016-06-04,7,32,34,48,55,58,30
2016-06-08,28,33,43,49,55,58,21
2016-06-11,4,17,30,38,47,55,3
2016-06-15,2,14,19,20,29,38,27
2016-06-18,10,17,26,31,35,38,47
2016-06-22,11,25,36,39,40,57,37
2016-06-25,13,14,18,22,24,56,16
2016-06-29,10,19,21,45,46,56,2
2016-07-02,3,9,16,19,24,43,13
2016-07-06,1,3,20,24,38,39,4
2016-07-09,1,3,22,29,36,42,12
2016-07-13,1,22,30,34,57,58,51
2016-07-16,10,14,17,32,36,50,41
2016-07-20,18,29,30,37,46,59,23
2016-07-23,19,20,30,37,54,59,25
2016-07-27,9,24,26,38,40,46,30
2016-07-30,14,26,28,41,51,57,48
2016-08-03,16,17,22,38,41,55,5
2016-08-06,34,39,42,47,53,54,8
2016-08-10,11,17,35,36,40,59,39
2016-08-13,12,20,31,39,43,46,38
2016-08-17,4,15,27,36,37,59,55
2016-08-20,8,18,26,35,41,52,17
2016-08-24,4,10,15,37,38,59,1
2016-08-27,5,10,22,23,34,54,8
2016-08-31,15,16,26,45,47,49,50
2016-09-03,2,6,17,28,38,55,37
2016-09-07,3,10,12,29,30,44,11
2016-09-10,6,17,37,46,47,51,2
2016-09-14,16,23,35,42,44,58,28
2016-09-17,10,14,25,29,52,54,37
2016-09-21,20,21,28,33,49,56,43
2016-09-24,11,24,34,43,44,47,42
2016-09-28,19,29,37,41,51,53,55
2016-10-01,4,5,18,28,43,58,55
2016-10-05,11,16,25,37,43,44,39
2016-10-08,11,17,20,32,40,42,27
2016-10-12,2,22,29,30,36,58,53
2016-10-15,14,16,25,42,46,51,53
2016-10-19,2,3,4,32,54,59,12
2016-10-22,9,19,26,27,45,50,23
2016-10-26,5,11,27,29,52,53,13
2016-10-29,7,8,16,24,29,58,42
2016-11-02,5,14,19,24,31,38,29
2016-11-05,8,12,16,26,45,49,27
2016-11-09,12,13,30,34,39,52,38
2016-11-12,3,11,16,31,44,55,8
2016-11-16,7,12,33,47,50,51,40
2016-11-19,5,7,8,16,28,37,40
2016-11-23,2,4,8,25,38,39,29
2016-11-26,1,2,28,40,48,49,17
2016-11-30,10,20,25,39,45,55,22
2016-12-03,3,8,9,19,21,54,31
2016-12-07,16,27,31,32,44,58,42
2016-12-10,11,26,31,32,33,46,20
2016-12-14,3,7,8,9,40,58,36
2016-12-17,2,11,18,32,40,54,8
2016-12-21,10,13,22,35,42,52,27
2016-12-24,16,19,29,46,54,58,12
2016-12-28,5,40,47,48,52,54,33
2016-12-31,10,17,35,41,51,54,25
2017-01-04,10,29,37,42,48,49,32
2017-01-07,8,16,33,36,45,51,38
2017-01-11,21,26,29,35,46,59,10
2017-01-14,14,19,21,36,53,54,33
2017-01-18,8,14,20,27,28,53,45
2017-01-21,4,13,37,40,52,58,51
2017-01-25,4,9,20,23,37,53,39
2017-01-28,5,21,23,34,43,45,20
2017-02-01,6,8,15,31,45,58,39
2017-02-04,6,9,27,30,40,50,22
2017-02-08,7,23,41,44,49,54,37
2017-02-11,15,18,23,42,43,52,28
2017-02-15,17,23,28,38,47,56,31
2017-02-18,11,13,21,37,49,59,4
2017-02-22,1,16,28,31,38,54,5
2017-02-25,18,24,34,38,41,49,26
2017-03-01,2,7,21,22,47,53,42
2017-03-04,24,38,39,40,49,56,21
2017-03-08,11,19,22,42,43,49,48
2017-03-11,6,15,23,29,55,57,46
2017-03-15,6,24,27,38,39,58,55
2017-03-18,3,8,19,26,37,41,43
2017-03-22,6,11,12,19,27,31,42
2017-03-25,39,48,52,53,54,58,28
2017-03-29,5,6,16,32,42,51,39
2017-04-01,1,2,11,23,25,54,14
2017-04-05,10,16,18,32,42,45,30
2017-04-08,14,23,36,45,47,50,21
2017-04-12,3,16,34,42,49,52,50
2017-04-15,8,10,16,19,23,31,48
2017-04-19,4,27,47,54,55,59,45
2017-04-22,4,6,34,37,42,52,24
2017-04-26,12,15,30,43,47,59,41
2017-04-29,24,29,30,36,46,48,7
2017-05-03,13,22,24,34,41,57,40
2017-05-06,5,34,36,38,39,48,30
2017-05-10,7,12,17,35,37,58,25
2017-05-13,7,14,15,21,23,57,52
2017-05-17,3,19,20,24,30,38,41
2017-05-20,7,8,13,29,43,53,16
2017-05-24,3,30,44,45,55,59,37
2017-05-27,20,22,31,39,41,54,33
2017-05-31,18,23,28,52,56,59,36
2017-06-03,12,19,21,38,47,51,48
2017-06-07,6,8,12,36,37,41,50
2017-06-10,10,18,28,35,36,50,2
2017-06-14,2,4,14,23,34,46,45
2017-06-17,1,11,16,20,24,44,42
2017-06-21,1,3,5,11,15,43,48
2017-06-24,4,16,26,39,42,54,24
2017-06-28,2,10,21,23,54,56,44
2017-07-01,2,19,36,52,54,59,6
2017-07-05,16,18,25,27,29,57,4
2017-07-08,1,11,18,27,32,50,25
2017-07-12,7,14,19,38,40,45,18
2017-07-15,7,8,14,47,56,58,23
2017-07-19,2,6,14,16,25,36,42
2017-07-22,5,13,21,35,41,47,23
2017-07-26,5,10,29,35,55,56,30
2017-07-29,1,26,41,55,56,59,36
2017-08-02,4,6,24,35,45,52,8
2017-08-05,14,24,30,45,49,56,27
2017-08-09,5,9,25,34,51,59,44
2017-08-12,10,27,49,52,55,56,17
2017-08-16,7,17,28,43,44,45,54
2017-08-19,12,25,39,46,52,55,3
2017-08-23,8,16,21,41,44,56,45
2017-08-26,20,25,34,41,42,52,58
2017-08-30,34,42,46,57,58,59,38
2017-09-02,30,33,35,40,41,59,8
2017-09-06,16,30,34,50,52,53,46
2017-09-09,4,7,13,49,56,58,6
2017-09-13,4,11,14,21,29,56,27
2017-09-16,1,6,31,37,49,50,38
2017-09-20,8,20,25,50,51,58,45
2017-09-23,17,18,26,39,54,56,57
2017-09-27,30,35,45,47,52,55,40
2017-09-30,13,18,21,30,50,54,20
2017-10-04,12,20,32,38,48,54,5
2017-10-07,15,20,30,37,47,51,21
2017-10-11,17,38,49,54,55,56,13
2017-10-14,6,22,40,43,47,58,42
2017-10-18,11,12,15,22,27,44,7
2017-10-21,3,31,37,41,44,59,32
2017-10-25,1,3,11,37,49,58,21
2017-10-28,8,15,33,42,55,58,53
2017-11-01,13,14,18,19,21,36,53
2017-11-04,6,20,23,29,35,53,57
2017-11-08,2,17,25,32,42,49,4
2017-11-11,4,16,27,30,41,49,54
2017-11-15,2,11,22,36,51,59,7
2017-11-18,1,20,24,36,54,58,11
2017-11-22,2,16,17,27,36,37,42
2017-11-25,4,7,29,45,54,56,8
2017-11-29,20,32,42,43,53,58,8
2017-12-02,4,9,13,32,46,50,52
2017-12-06,3,19,24,31,50,52,16
2017-12-09,2,32,37,39,46,54,19
2017-12-13,6,14,23,24,43,58,40
2017-12-16,22,25,35,45,46,57,14
2017-12-20,10,20,28,38,41,46,16
2017-12-23,20,32,36,44,47,56,41
2017-12-27,18,36,48,57,58,59,50
2017-12-30,33,37,42,47,55,58,34
2018-01-03,11,19,20,30,35,49,44
2018-01-06,18,28,31,32,44,51,50
2018-01-10,6,11,27,29,40,55,45
2018-01-13,6,7,9,18,35,46,5
2018-01-17,30,33,37,43,55,56,46
2018-01-20,2,10,19,28,29,31,47
2018-01-24,1,22,39,44,48,59,5
2018-01-27,29,33,43,45,49,56,16
2018-01-31,5,19,21,42,44,57,18
2018-02-03,8,26,27,29,49,58,38
2018-02-07,5,19,29,34,40,45,57
2018-02-10,3,12,15,29,51,58,13
2018-02-14,2,8,33,46,48,50,5
2018-02-17,5,8,9,10,38,53,56
2018-02-21,14,25,29,30,35,53,38
2018-02-24,2,11,35,40,48,55,7
2018-02-28,9,10,27,30,33,45,29
2018-03-03,15,19,20,29,42,50,36
2018-03-07,8,10,22,37,55,57,29
2018-03-10,3,7,36,42,53,59,50
2018-03-14,7,19,38,45,47,53,15
2018-03-17,7,8,13,24,45,46,39
2018-03-21,2,35,44,51,54,55,45
2018-03-24,3,11,16,36,43,59,49
2018-03-28,2,6,7,15,52,54,45
2018-03-31,6,8,20,26,35,36,39
2018-04-04,1,9,15,26,38,43,14
2018-04-07,1,4,31,33,52,55,13
2018-04-11,21,25,32,52,56,59,28
2018-04-14,10,40,42,46,47,48,38
2018-04-18,4,11,21,39,41,59,58
2018-04-21,2,8,9,12,20,57,38
2018-04-25,5,14,18,40,41,50,12
2018-04-28,3,11,37,38,43,44,20
2018-05-02,4,8,10,26,38,48,41
2018-05-05,2,9,14,49,52,56,41
2018-05-09,18,21,25,30,56,59,5
2018-05-12,1,15,21,30,35,44,5
2018-05-16,4,22,26,32,48,54,57
2018-05-19,1,3,34,36,48,52,22
2018-05-23,1,15,17,32,36,45,5
2018-05-26,9,14,19,29,39,40,3
2018-05-30,4,5,8,26,32,39,16
2018-06-02,4,32,38,43,51,58,10
2018-06-06,12,22,31,35,42,58,55
2018-06-09,3,17,20,55,56,58,57
2018-06-13,5,15,22,33,38,45,11
2018-06-16,10,18,36,37,41,46,8
2018-06-20,15,22,26,35,41,43,1
2018-06-23,1,10,15,25,31,47,53
2018-06-27,4,41,45,54,57,58,26
2018-06-30,6,28,32,45,46,49,50
2018-07-04,8,13,22,46,52,58,7
2018-07-07,17,18,29,48,52,54,1
2018-07-11,8,11,17,25,33,46,13
2018-07-14,4,8,13,26,41,55,58
2018-07-18,22,34,44,49,51,53,33
2018-07-21,9,13,16,25,40,46,52
2018-07-25,5,19,20,23,30,43,6
2018-07-28,11,29,31,32,38,45,10
2018-08-01,15,17,18,34,46,54,4
2018-08-04,5,17,23,25,34,51,52
2018-08-08,8,19,20,27,31,34,7
2018-08-11,1,3,10,18,19,37,57
2018-08-15,3,28,34,41,48,58,54
2018-08-18,1,2,6,12,13,55,11
2018-08-22,15,20,21,25,34,47,36
2018-08-25,9,22,33,39,41,56,48
2018-08-29,19,23,30,50,51,54,55
2018-09-01,3,21,22,38,46,55,50
2018-09-05,12,18,22,23,48,59,47
2018-09-08,7,19,33,34,52,53,48
2018-09-12,11,12,13,14,54,56,36
2018-09-15,25,42,48,50,55,58,44
2018-09-19,7,20,25,26,34,40,59
2018-09-22,5,16,18,20,25,55,36
2018-09-26,3,8,37,39,47,59,42
2018-09-29,17,36,40,44,54,58,27
2018-10-03,3,5,11,25,27,45,18
2018-10-06,23,26,30,32,37,39,5
2018-10-10,10,49,50,53,54,56,4
2018-10-13,19,26,40,52,56,58,38
2018-10-17,1,5,6,20,51,54,56
2018-10-20,12,18,40,42,46,59,49
2018-10-24,9,22,32,40,51,59,17
2018-10-27,1,6,25,26,31,39,56
2018-10-31,5,14,20,24,28,45,21
2018-11-03,16,31,41,45,47,52,53
2018-11-07,4,5,9,40,46,59,58
2018-11-10,7,12,17,38,42,44,53
